Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
D10,WB,50,Jan,30,"995,367","2,060","24,256","60,030","53,322","28,661","12,479","9,741","21,035","43,340","81,543","166,795","232,152","185,945","61,891","9,434","1,961",470,166,86,49,49.4%,26.1%,1400 - 1500,1200 - 1300,63
D10,EB,50,Feb,29,"995,529",226,334,59,11,16,96,448,"1,964","10,672","49,936","183,408","328,486","289,309","106,103","19,206","3,795",959,337,164,59,75.2%,42.2%,1600 - 1700,1600 - 1700,65
D10,WB,50,Feb,29,"1,026,128","2,130","17,297","41,359","44,715","29,884","15,103","9,313","15,415","32,121","65,764","154,536","251,498","237,185","90,728","14,883","3,173",670,252,102,52,58.3%,33.8%,1400 - 1500,1400 - 1500,64
D10,EB,50,Mar,30,"546,654",108,176,34,4,11,82,273,"1,035","3,947","15,670","64,783","150,039","185,965","95,531","22,065","5,054","1,259",447,171,61,84.2%,56.8%,1500 - 1600,1500 - 1600,67
D10,WB,50,Mar,30,"571,286",214,"1,175","4,308","6,153","4,620","2,339","1,297","2,471","8,280","16,608","60,749","146,360","191,935","98,998","19,808","4,467","1,005",376,123,59,81.1%,55.4%,1500 - 1600,1500 - 1600,67
D12,EB,60,Jan,31,"486,454",62,71,11,4,1,6,10,35,182,967,"7,108","40,876","158,727","191,242","66,531","16,570","2,947",815,289,66,57.2%,17.9%,1500 - 1600,1500 - 1600,71
D12,WB,60,Jan,31,"502,774",69,94,17,5,6,7,17,61,288,"1,498","9,455","53,823","179,051","175,644","63,550","15,126","3,017",752,294,65,51.4%,16.5%,1500 - 1600,1500 - 1600,71
D12,EB,60,Feb,29,"503,213",91,96,27,10,1,3,9,38,92,525,"4,258","31,982","153,920","207,847","79,381","20,072","3,526","1,007",328,67,62.0%,20.7%,1500 - 1600,1600 - 1700,72
D12,WB,60,Feb,29,"509,028",81,116,24,4,3,4,13,36,163,868,"6,998","54,191","179,520","174,610","70,583","17,252","3,423",794,345,66,52.5%,18.2%,1600 - 1700,1600 - 1700,71
D12,EB,60,Mar,30,"413,017",60,74,15,4,7,6,22,34,100,423,"3,025","23,192","123,286","168,771","68,759","19,896","3,844","1,109",390,67,63.6%,22.8%,1600 - 1700,1600 - 1700,72
D12,WB,60,Mar,30,"412,927",64,79,23,8,10,4,12,22,123,698,"5,353","45,054","144,557","134,624","59,840","17,114","3,963",987,392,66,52.5%,19.9%,1500 - 1600,1600 - 1700,72
D13,EB,60,Jan,26,"6,883",0,1,2,6,11,38,92,278,883,"1,933","2,279",979,262,80,23,6,3,5,2,50,1.7%,0.6%,1800 - 1900,2000 - 2100,57
D13,WB,60,Jan,31,"816,793",562,753,138,32,55,203,"1,165","6,613","39,511","139,006","265,522","227,658","104,437","24,821","4,652","1,118",343,132,72,54,3.8%,0.8%,0500 - 0600,0500 - 0600,61
D13,EB,60,Feb,29,"8,089",4,3,6,5,14,14,50,198,754,"2,156","2,780","1,457",445,127,39,20,12,4,1,52,2.5%,0.9%,1500 - 1600,1500 - 1600,58
D13,WB,60,Feb,29,"804,569",453,686,147,27,34,72,380,"2,703","21,760","100,542","245,491","252,908","134,664","35,490","6,664","1,679",564,205,100,56,5.6%,1.1%,0800 - 0900,1000 - 1100,62
D13,EB,60,Mar,30,"6,839",3,0,6,4,12,20,38,155,684,"1,657","2,313","1,275",445,135,48,30,8,5,1,52,3.3%,1.3%,1500 - 1600,1400 - 1500,59
D13,WB,60,Mar,30,"601,212",240,344,64,22,32,115,225,"1,119","8,751","45,552","148,167","203,492","137,051","43,474","9,093","2,344",701,292,134,57,9.3%,2.1%,1700 - 1800,1700 - 1800,64
D14,NB,60,Jan,31,"934,610",190,263,451,"2,759","4,495","3,898","3,524","3,694","6,226","21,215","80,345","216,937","293,600","221,035","58,255","13,881","2,493",994,355,61,31.8%,8.1%,0900 - 1000,1400 - 1500,68
D14,SB,60,Jan,31,"927,619",196,318,238,616,"1,052","2,339","6,806","20,784","50,007","75,147","133,648","220,821","230,608","130,935","40,260","10,744","2,278",639,183,58,19.9%,5.8%,1400 - 1500,1400 - 1500,67
D14,NB,60,Feb,28,"888,016",163,248,342,"2,168","4,993","5,322","3,821","2,771","3,064","9,242","49,546","180,110","291,125","243,292","69,515","17,320","3,237","1,299",438,63,37.7%,10.3%,1600 - 1700,0500 - 0600,69
D14,SB,60,Feb,28,"876,116",159,290,214,393,682,"1,558","3,723","9,760","25,085","45,310","98,289","199,862","250,133","162,137","58,017","15,754","3,371","1,081",298,60,27.5%,9.0%,1400 - 1500,1400 - 1500,68
D14,NB,60,Mar,29,"624,621",106,126,102,293,536,680,492,470,813,"3,482","22,105","105,431","210,572","177,113","75,968","18,818","5,058","1,677",779,64,44.7%,16.4%,1600 - 1700,0500 - 0600,71
D14,SB,60,Mar,29,"623,726",78,156,48,13,21,26,123,536,"2,457","11,373","45,418","130,224","185,376","161,732","60,062","19,752","4,001","1,815",515,63,39.7%,13.8%,1500 - 1600,1400 - 1500,70
D3,EB,60,Jan,31,"1,365,059",11,"2,009","9,869","23,425","33,724","30,169","22,685","17,669","15,060","25,848","93,015","276,109","439,322","286,445","74,483","12,125","2,127",612,352,58,27.6%,6.6%,1300 - 1400,1300 - 1400,68
D3,WB,60,Jan,31,"1,331,009",18,"1,580","2,639","3,807","4,451","4,661","4,560","4,818","5,810","11,358","43,610","171,498","406,588","416,236","191,964","46,725","7,942","1,780",964,64,50.0%,18.7%,1400 - 1500,1400 - 1500,71
D3,EB,60,Feb,29,"1,346,982",32,"2,259","10,159","21,731","30,561","30,647","24,793","18,946","15,567","20,903","66,724","238,528","441,054","318,402","88,256","14,758","2,546",694,422,59,31.6%,7.9%,1300 - 1400,1200 - 1300,68
D3,WB,60,Feb,29,"1,325,942",3,297,"1,027","1,958","2,612","2,898","3,464","3,500","4,021","7,235","29,902","141,808","394,271","442,702","219,721","56,828","10,112","2,352","1,231",65,55.3%,21.9%,1400 - 1500,1400 - 1500,72
D3,EB,60,Mar,30,"1,137,389",10,558,"2,786","6,854","10,151","9,986","8,079","6,712","6,524","10,346","43,663","190,926","393,186","317,686","103,570","20,560","4,074","1,017",701,62,39.4%,11.4%,1400 - 1500,1800 - 1900,69
D3,WB,60,Mar,30,"1,130,557",34,776,"1,672","2,049","2,351","2,210","1,690","1,583","1,732","3,582","17,052","96,115","315,181","384,704","214,259","66,184","14,140","3,425","1,818",66,60.5%,26.5%,1400 - 1500,1400 - 1500,73
P01,EB,60,Jan,31,"286,236",58,76,49,26,23,99,483,"1,372","3,411","8,404","24,142","70,272","127,680","45,434","4,158",468,57,16,8,61,17.5%,1.6%,1500 - 1600,1500 - 1600,66
P01,WB,60,Jan,31,"284,256",65,82,41,11,11,101,473,"1,534","3,593","6,414","17,945","68,460","134,745","46,330","3,943",426,55,19,8,61,17.9%,1.6%,1500 - 1600,1100 - 1200,66
P01,EB,60,Feb,29,"294,433",74,86,35,32,12,11,34,136,678,"3,354","15,618","64,922","144,757","58,000","5,881",636,123,38,6,62,22.0%,2.3%,1500 - 1600,1400 - 1500,67
P01,WB,60,Feb,29,"289,630",62,86,41,13,4,20,91,467,"1,610","3,056","10,396","60,459","148,545","58,680","5,311",597,144,29,19,62,22.4%,2.1%,1500 - 1600,1400 - 1500,67
P01,EB,60,Mar,30,"260,805",49,67,44,23,7,11,21,139,594,"2,980","13,649","56,400","128,091","52,080","5,718",747,125,50,10,62,22.5%,2.5%,1600 - 1700,1500 - 1600,67
P01,WB,60,Mar,30,"252,591",40,57,27,9,6,9,89,483,"1,434","2,715","8,662","48,765","127,313","56,500","5,649",645,141,38,9,62,24.9%,2.6%,1700 - 1800,1400 - 1500,67
P02,EB,65,Jan,31,"4,592",0,0,3,4,16,21,77,115,73,148,231,389,718,"1,330",965,333,118,42,9,65,31.9%,10.9%,1300 - 1400,1300 - 1400,74
P02,WB,65,Jan,31,"4,519",0,0,1,1,7,9,40,111,114,168,276,480,"1,109","1,367",666,127,34,9,0,63,18.5%,3.8%,1500 - 1600,1500 - 1600,71
P02,EB,65,Feb,29,"6,280",0,0,1,1,3,22,88,95,31,39,82,220,881,"2,133","1,753",627,203,73,28,68,42.7%,14.8%,1200 - 1300,1600 - 1700,75
P02,WB,65,Feb,29,"6,259",0,0,3,1,3,5,36,94,120,91,107,288,"1,364","2,504","1,270",258,84,24,7,66,26.3%,6.0%,1400 - 1500,1700 - 1800,73
P02,EB,65,Mar,30,"5,643",0,0,1,0,9,41,132,97,41,38,63,211,742,"1,872","1,538",529,201,93,35,68,42.5%,15.2%,1600 - 1700,1600 - 1700,75
P02,WB,65,Mar,30,"5,702",0,0,1,2,5,10,59,122,109,67,94,332,"1,233","2,176","1,112",252,85,30,13,66,26.2%,6.7%,1500 - 1600,1400 - 1500,73
P03,NB,55,Jan,31,"198,438",0,0,0,4,25,84,264,802,"1,841","4,902","18,039","71,531","70,775","23,700","5,023",992,245,79,132,60,50.9%,15.2%,1500 - 1600,1500 - 1600,65
P03,SB,55,Jan,31,"195,602",0,0,0,5,12,36,216,621,"1,825","4,972","18,464","70,059","69,142","23,747","5,072","1,029",249,71,82,60,50.8%,15.5%,1500 - 1600,1500 - 1600,65
P03,NB,55,Feb,29,"197,554",0,0,0,3,10,13,48,164,599,"2,819","14,921","69,723","74,781","26,970","5,831","1,173",311,84,104,61,55.3%,17.4%,1500 - 1600,1500 - 1600,66
P03,SB,55,Feb,29,"195,261",0,0,0,2,7,13,67,161,791,"3,148","15,328","67,757","72,794","27,302","6,194","1,255",293,75,74,61,55.3%,18.0%,1500 - 1600,1500 - 1600,66
P03,NB,55,Mar,30,"166,619",0,1,1,5,9,22,46,140,497,"2,003","10,803","54,573","64,219","25,759","6,494","1,417",374,107,149,61,59.1%,20.6%,1500 - 1600,1500 - 1600,67
P03,SB,55,Mar,30,"163,409",0,0,1,2,8,25,68,157,670,"2,740","12,040","53,052","61,182","25,289","6,286","1,367",312,109,101,61,57.9%,20.5%,1500 - 1600,1600 - 1700,67
P04,NB,70,Jan,31,"696,470",0,189,"1,314","1,296","1,049",727,775,"1,250","2,586","5,660","16,066","52,851","132,005","191,676","209,557","70,762","7,513",909,285,68,11.4%,1.3%,1300 - 1400,1200 - 1300,74
P04,SB,70,Jan,31,"726,140",0,47,247,275,312,443,583,882,"2,023","5,011","14,607","48,094","123,147","197,352","235,130","87,657","9,024","1,041",265,68,13.5%,1.4%,1500 - 1600,1300 - 1400,75
P04,NB,70,Feb,29,"727,947",0,136,735,971,796,768,848,802,891,"2,270","10,035","41,028","121,675","199,535","247,737","88,770","9,411","1,196",343,69,13.7%,1.5%,1500 - 1600,0700 - 0800,75
P04,SB,70,Feb,29,"758,957",0,4,64,133,78,38,89,273,382,"1,024","4,935","26,704","99,436","187,606","287,836","133,040","15,288","1,646",381,70,19.8%,2.3%,1600 - 1700,1600 - 1700,76
P04,NB,70,Mar,30,"526,605",0,6,1,7,4,5,8,23,236,"1,159","5,839","26,281","81,603","133,206","185,788","80,367","10,155","1,433",484,70,17.6%,2.3%,1700 - 1800,1700 - 1800,76
P04,SB,70,Mar,30,"543,852",0,7,54,178,317,259,171,138,160,451,"2,599","15,973","65,773","119,249","206,216","113,622","16,227","1,913",545,71,24.3%,3.4%,1600 - 1700,1700 - 1800,77
P05,EB,60,Jan,31,"21,629",0,0,0,2,8,22,69,173,334,552,"1,639","4,966","9,406","3,724",544,135,33,17,5,61,20.6%,3.4%,1500 - 1600,1500 - 1600,67
P05,WB,60,Jan,31,"20,906",0,0,1,4,21,46,73,188,430,"1,147","2,663","5,750","8,085","2,269",194,26,6,2,1,59,11.9%,1.1%,1500 - 1600,1500 - 1600,65
P05,EB,60,Feb,29,"23,131",0,0,0,0,0,8,25,66,114,282,"1,210","4,646","10,717","5,047",758,189,48,12,9,62,26.2%,4.4%,1500 - 1600,1600 - 1700,68
P05,WB,60,Feb,29,"22,525",0,0,3,2,17,20,36,60,169,838,"2,556","5,973","9,620","2,843",308,67,10,3,0,60,14.3%,1.7%,1500 - 1600,1500 - 1600,65
P05,EB,60,Mar,30,"22,289",0,0,1,0,6,6,23,40,85,273,"1,134","4,639","9,982","4,927",887,190,67,12,17,62,27.4%,5.3%,1700 - 1800,1600 - 1700,68
P05,WB,60,Mar,30,"21,500",0,0,0,9,16,15,23,40,109,817,"2,367","5,543","9,040","3,046",361,92,13,5,4,60,16.4%,2.2%,1700 - 1800,1600 - 1700,65
P06,EB,60,Jan,31,"633,250",0,0,0,1,1,16,122,556,"2,328","11,876","53,357","156,948","216,534","140,384","41,057","7,902","1,562",392,214,62,30.2%,8.1%,1500 - 1600,1500 - 1600,68
P06,WB,60,Jan,31,"669,464",0,0,0,0,1,8,10,40,281,"2,078","15,292","83,687","204,308","209,238","116,049","31,850","5,364",888,370,66,54.3%,23.1%,0700 - 0800,0600 - 0700,72
P06,EB,60,Feb,29,"623,263",0,2,2,5,21,31,55,157,910,"5,622","33,373","134,041","220,981","162,219","52,312","10,629","2,006",575,322,63,36.6%,10.6%,1500 - 1600,1500 - 1600,69
P06,WB,60,Feb,29,"659,310",0,4,0,1,3,6,13,28,148,"1,086","9,468","64,124","189,121","212,723","132,693","40,864","7,315","1,208",505,67,60.0%,27.7%,0700 - 0800,0700 - 0800,73
P06,EB,60,Mar,30,"521,725",0,0,5,1,3,32,52,125,470,"2,889","21,029","97,594","183,113","145,281","54,965","12,459","2,613",639,455,64,41.5%,13.6%,1600 - 1700,1600 - 1700,70
P06,WB,60,Mar,30,"549,684",0,1,2,4,6,12,28,64,206,"1,023","7,588","48,183","151,351","176,966","114,522","39,547","7,978","1,513",690,67,62.1%,29.9%,0700 - 0800,0700 - 0800,74
P07,EB,55,Jan,31,"86,954",2,3,2,18,67,49,75,209,"1,216","5,976","20,331","36,241","17,944","3,826",770,161,30,22,12,57,26.2%,5.5%,1600 - 1700,1200 - 1300,63
P07,WB,55,Jan,31,"96,980",3,5,0,6,48,73,131,570,"2,902","11,113","29,834","37,715","12,287","1,824",372,71,15,8,3,55,15.0%,2.4%,1500 - 1600,1400 - 1500,60
P07,EB,55,Feb,28,"89,787",0,3,4,11,58,39,26,99,761,"4,704","17,730","37,674","21,972","5,263","1,138",214,59,18,14,58,31.9%,7.5%,1500 - 1600,1600 - 1700,63
P07,WB,55,Feb,28,"99,765",1,7,2,6,29,37,65,313,"2,028","9,357","29,066","41,646","14,367","2,229",479,96,16,11,10,56,17.2%,2.8%,1600 - 1700,1400 - 1500,61
P07,EB,55,Mar,29,"84,517",0,4,2,12,59,52,53,123,740,"4,157","15,462","34,281","22,375","5,804","1,074",238,36,35,10,58,35.0%,8.5%,1600 - 1700,1600 - 1700,64
P07,WB,55,Mar,29,"92,332",3,7,3,5,12,24,54,206,"1,566","7,523","24,366","38,975","16,034","2,789",577,138,27,12,11,56,21.2%,3.8%,1600 - 1700,1700 - 1800,62
P08,EB,70,Jan,31,"352,603",0,0,0,1,5,14,74,333,659,"1,042","1,828","5,928","36,493","58,553","148,628","86,777","10,348","1,477",443,72,28.1%,3.5%,1600 - 1700,1600 - 1700,78
P08,WB,70,Jan,31,"355,807",0,0,0,2,5,13,41,175,442,905,"1,965","7,875","41,398","60,574","146,505","82,477","11,388","1,656",386,72,27.0%,3.8%,1500 - 1600,1500 - 1600,78
P08,EB,70,Feb,28,"355,340",0,0,0,0,0,1,4,20,22,51,297,"3,302","32,562","52,218","153,104","98,668","12,764","1,853",474,73,32.0%,4.2%,1600 - 1700,1500 - 1600,78
P08,WB,70,Feb,28,"357,431",0,0,0,0,0,0,3,39,58,89,356,"4,525","35,831","54,582","151,513","94,529","13,505","1,931",470,72,30.9%,4.5%,0700 - 0800,1500 - 1600,78
P08,EB,70,Mar,30,"332,370",0,0,0,0,1,4,3,17,22,36,215,"3,445","36,481","51,224","134,631","90,156","13,404","2,115",616,72,32.0%,4.9%,1700 - 1800,1700 - 1800,78
P08,WB,70,Mar,30,"336,856",0,0,0,0,0,1,5,31,48,93,430,"5,149","40,917","54,968","136,058","83,930","12,771","1,960",495,72,29.4%,4.5%,0700 - 0800,1500 - 1600,78
