Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
B02,EB,60,Jul,31,"424,880",0,0,0,2,2,2,9,22,83,334,"3,153","33,616","160,868","170,442","47,426","7,357","1,181",229,154,66,53.4%,13.3%,1600 - 1700,1600 - 1700,70
B02,WB,60,Jul,31,"427,273",0,0,0,2,6,6,27,33,146,631,"3,632","31,737","163,445","166,878","49,827","8,802","1,534",348,219,66,53.3%,14.2%,1200 - 1300,1200 - 1300,70
B02,EB,60,Aug,30,"423,854",0,0,0,0,3,2,7,19,45,280,"2,810","30,016","151,978","174,214","53,939","8,749","1,370",256,166,66,56.3%,15.2%,1700 - 1800,1700 - 1800,70
B02,WB,60,Aug,30,"417,429",0,0,0,1,0,0,18,31,79,487,"2,871","26,585","149,470","167,509","57,062","10,873","1,828",416,199,66,57.0%,16.9%,1200 - 1300,1200 - 1300,71
B02,EB,60,Sep,29,"359,843",0,0,1,0,1,1,3,15,45,328,"3,027","30,023","137,346","142,724","39,260","5,887",871,180,131,65,52.5%,12.9%,1600 - 1700,1700 - 1800,70
B02,WB,60,Sep,29,"355,948",0,0,1,2,2,7,19,42,104,483,"2,879","24,785","134,607","140,030","43,193","8,061","1,285",236,212,66,54.2%,14.9%,1500 - 1600,1200 - 1300,70
B03,NB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03,SB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03,NB,70,Aug,27,"282,873",0,0,8,17,41,82,21,50,141,453,"1,962","11,336","59,949","76,095","81,099","43,798","6,412","1,035",374,69,18.2%,2.8%,1600 - 1700,1600 - 1700,76
B03,SB,70,Aug,27,"280,170",0,0,1,3,25,43,26,46,222,956,"2,051","12,021","44,699","46,957","85,798","70,079","14,033","2,476",734,71,31.2%,6.2%,1600 - 1700,1600 - 1700,78
B03,NB,70,Sep,30,"294,980",0,1,21,53,131,124,43,108,244,730,"2,678","12,211","55,324","68,891","89,031","55,463","8,033","1,319",575,70,22.2%,3.4%,1600 - 1700,0500 - 0600,77
B03,SB,70,Sep,30,"294,215",0,1,4,8,22,72,17,59,270,"1,256","2,453","10,944","44,659","41,475","87,691","82,654","18,089","3,506","1,035",72,35.8%,7.7%,1600 - 1700,1600 - 1700,79
B04,EB,70,Jul,31,"610,545",68,122,34,17,6,4,46,111,487,"1,623","6,328","27,414","108,665","138,588","170,185","124,476","27,240","4,261",870,70,25.7%,5.3%,1600 - 1700,1700 - 1800,78
B04,WB,70,Jul,31,"574,162",770,"4,946","7,310","7,695","7,904","7,064","5,879","3,165","2,289","4,029","14,768","56,419","132,354","171,795","119,929","24,425","2,820",450,151,63,4.8%,0.6%,1800 - 1900,1800 - 1900,73
B04,EB,70,Aug,31,"615,066",84,126,33,12,11,22,51,130,314,797,"3,880","22,121","100,750","138,038","176,949","135,785","30,313","4,720",930,71,27.9%,5.8%,1600 - 1700,1700 - 1800,78
B04,WB,70,Aug,31,"610,390",293,"1,680","4,374","9,151","11,250","10,006","8,746","6,743","4,293","4,604","15,181","56,981","135,551","180,859","130,033","26,636","3,342",486,181,63,5.0%,0.7%,1800 - 1900,1800 - 1900,73
B04,EB,70,Sep,30,"539,694",75,83,32,4,5,39,105,297,671,"1,589","5,615","24,912","99,441","123,547","146,808","107,527","24,213","3,991",740,70,25.3%,5.4%,1600 - 1700,1600 - 1700,78
B04,WB,70,Sep,28,"486,768",234,"1,221","1,558","2,025","1,108",593,543,805,"1,356","2,607","10,728","44,387","115,516","155,005","119,196","26,016","3,215",497,158,66,6.1%,0.8%,1600 - 1700,1800 - 1900,73
D1,NB,60,Jul,31,"2,043,253",417,956,554,181,121,769,"2,799","6,638","14,488","44,835","145,941","381,509","567,668","523,933","251,744","77,255","17,999","4,211","1,235",64,42.9%,17.2%,1700 - 1800,1800 - 1900,71
D1,SB,60,Jul,31,"1,901,507",639,"3,060","5,559","8,261","13,330","21,033","31,391","41,248","66,247","111,145","179,720","319,612","497,129","407,290","152,692","34,399","6,337","1,809",606,59,31.7%,10.3%,1900 - 2000,1900 - 2000,69
D1,NB,60,Aug,30,"2,027,373",541,"1,219",974,922,"1,085","1,218","2,403","5,511","13,454","45,463","153,694","388,036","556,579","514,093","246,256","74,709","16,358","3,773","1,085",63,42.2%,16.9%,1700 - 1800,1800 - 1900,71
D1,SB,60,Aug,30,"1,888,357",906,"4,210","7,444","10,772","15,936","24,227","35,541","46,989","69,493","108,269","175,393","349,284","515,017","353,732","132,307","30,953","5,734","1,619",531,59,27.8%,9.1%,1900 - 2000,1900 - 2000,68
D1,NB,60,Sep,30,"1,964,721",440,972,544,367,481,760,"1,814","6,336","21,661","68,461","180,130","378,465","516,482","470,829","226,847","69,805","15,801","3,510","1,016",63,40.1%,16.1%,1700 - 1800,1800 - 1900,70
D1,SB,60,Sep,30,"1,829,920",808,"3,849","6,615","9,622","15,187","22,527","33,669","47,143","73,392","123,264","192,415","351,543","485,538","316,147","114,848","26,584","4,894","1,425",450,58,25.4%,8.1%,1900 - 2000,1900 - 2000,68
D10,EB,50,Jul,31,"606,553",118,171,37,10,8,57,138,624,"2,538","10,283","51,137","150,816","221,772","127,383","31,550","7,098","1,909",624,280,62,89.3%,64.4%,1500 - 1600,1700 - 1800,68
D10,WB,50,Jul,31,"640,886",221,229,32,17,24,44,102,674,"4,667","11,471","53,211","156,162","238,582","138,378","28,489","6,554","1,376",478,175,62,89.0%,64.6%,1500 - 1600,1600 - 1700,68
D10,EB,50,Aug,7,"146,460",38,51,9,0,0,8,20,143,596,"2,325","12,093","36,072","53,182","31,534","7,830","1,825",476,154,104,62,89.6%,64.9%,1500 - 1600,1700 - 1800,68
D10,WB,50,Aug,7,"154,366",57,61,8,2,1,1,4,168,891,"2,562","12,621","37,762","57,368","33,550","7,155","1,649",346,115,45,62,89.4%,64.9%,1600 - 1700,1700 - 1800,68
D10,EB,50,Sep,26,"527,200",123,147,31,7,6,36,128,607,"2,888","12,256","52,473","136,781","187,069","102,627","24,453","5,396","1,442",504,226,61,87.0%,61.0%,1600 - 1700,1700 - 1800,68
D10,WB,50,Sep,26,"555,626",151,176,23,7,13,42,105,741,"4,145","11,405","52,208","143,637","202,524","111,293","22,631","4,961","1,038",370,156,61,87.6%,61.7%,1600 - 1700,1600 - 1700,68
D12,EB,60,Jul,31,"583,477",25,79,34,8,3,1,5,10,28,115,664,"4,430","47,483","200,829","204,395","97,634","20,944","5,392","1,398",71,90.9%,56.5%,1100 - 1200,1600 - 1700,77
D12,WB,60,Jul,31,"591,374",104,146,45,11,7,9,14,33,148,438,"4,003","39,667","182,917","214,204","108,114","31,818","7,102","1,900",694,67,61.5%,25.3%,1600 - 1700,1700 - 1800,73
D12,EB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D12,WB,60,Aug,30,"572,972",130,157,37,11,6,2,26,58,183,735,"5,429","49,759","166,685","197,824","112,084","30,331","7,239","1,736",540,67,61.0%,26.5%,1700 - 1800,1700 - 1800,73
D12,EB,60,Sep,30,"526,860",110,124,38,10,10,9,10,35,128,631,"4,787","49,098","138,638","197,704","93,764","34,662","5,534","1,108",460,67,63.2%,25.7%,1600 - 1700,1600 - 1700,73
D12,WB,60,Sep,30,"536,528",66,77,23,2,4,12,9,14,100,566,"4,957","42,980","138,119","192,763","121,982","25,773","7,034","1,732",315,67,65.2%,29.2%,1600 - 1700,1600 - 1700,73
