Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
B02,EB,60,Jul,31,"419,276",0,0,1,0,2,15,14,27,43,347,"3,265","34,267","166,087","168,025","40,213","5,736",945,158,131,65,51.3%,11.3%,1700 - 1800,1700 - 1800,69
B02,WB,60,Jul,31,"413,618",0,0,3,1,2,1,15,56,205,601,"4,020","35,991","171,541","156,212","37,587","6,019","1,005",203,156,65,48.6%,10.9%,1500 - 1600,1100 - 1200,69
B02,EB,60,Aug,31,"432,055",0,0,0,2,1,9,9,16,69,387,"3,261","34,325","170,124","173,783","42,760","6,010","1,012",168,119,65,51.8%,11.6%,1700 - 1800,1700 - 1800,69
B02,WB,60,Aug,31,"436,256",0,66,55,19,21,29,38,52,124,620,"4,164","37,172","180,617","166,441","39,314","6,137",952,240,195,65,48.9%,10.7%,1500 - 1600,1100 - 1200,69
B02,EB,60,Sep,30,"369,893",0,0,0,0,5,2,5,11,52,298,"3,010","31,652","150,789","146,391","32,589","4,226",665,112,86,65,49.8%,10.2%,1600 - 1700,1600 - 1700,69
B02,WB,60,Sep,30,"352,499",0,0,0,0,1,8,14,23,122,582,"3,595","32,484","149,881","127,161","28,511","5,944","2,022",995,"1,156",65,47.0%,11.0%,1600 - 1700,1600 - 1700,69
B03,NB,70,Jul,31,"338,951",0,1,4,26,59,89,54,68,116,363,"1,418","9,049","53,513","71,609","117,655","75,166","8,367","1,051",343,71,25.1%,2.9%,1600 - 1700,1700 - 1800,77
B03,SB,70,Jul,31,"337,463",0,1,2,10,44,67,9,36,214,865,"1,938","11,024","41,285","46,656","114,949","99,937","17,144","2,558",724,72,35.7%,6.1%,1600 - 1700,1600 - 1700,78
B03,NB,70,Aug,31,"351,593",0,0,2,11,38,80,21,28,78,234,"1,432","10,072","54,559","73,799","121,492","79,024","9,147","1,171",405,71,25.5%,3.0%,1600 - 1700,1700 - 1800,77
B03,SB,70,Aug,31,"346,560",0,0,3,10,29,81,18,35,224,"1,065","2,352","14,224","46,698","53,099","119,569","90,884","15,278","2,360",631,71,31.5%,5.3%,1600 - 1700,1600 - 1700,78
B03,NB,70,Sep,30,"305,484",0,6,39,35,73,59,25,30,94,325,"1,542","9,876","51,589","63,834","103,511","65,544","7,585","1,007",310,71,24.4%,2.9%,1700 - 1800,1700 - 1800,77
B03,SB,70,Sep,30,"310,619",0,0,2,8,40,42,22,46,347,"1,574","2,474","15,190","47,705","49,887","107,386","72,466","11,217","1,764",449,71,27.7%,4.3%,1600 - 1700,1600 - 1700,78
B04,EB,70,Jul,31,"658,833",83,121,31,21,22,33,57,137,384,"1,147","5,435","29,251","121,968","157,770","198,450","119,556","20,761","2,959",647,70,21.8%,3.7%,1600 - 1700,1700 - 1800,77
B04,WB,70,Jul,31,"632,077",802,"3,447","7,119","9,143","8,588","7,576","6,210","3,086","2,188","7,111","35,940","104,456","139,057","202,456","83,761","9,621","1,143",256,117,61,1.8%,0.2%,1800 - 1900,2000 - 2100,70
B04,EB,70,Aug,31,"702,331",86,137,30,10,5,6,18,58,357,"1,370","6,539","33,667","131,418","169,808","206,849","124,919","23,010","3,322",722,70,21.6%,3.9%,1700 - 1800,1700 - 1800,77
B04,WB,70,Aug,31,"651,003",346,"1,797","4,114","5,919","7,902","9,084","9,348","5,274","3,647","7,695","36,097","104,651","143,175","211,584","88,496","10,332","1,199",226,117,62,1.8%,0.2%,1800 - 1900,1800 - 1900,70
B04,EB,70,Sep,30,"544,071",73,99,27,19,3,6,23,77,214,916,"3,946","22,768","99,655","128,148","162,241","102,233","20,002","2,983",638,70,23.1%,4.3%,1600 - 1700,1600 - 1700,77
B04,WB,70,Sep,30,"559,701",257,"1,071","2,191","3,121","4,085","5,294","4,771","2,401","1,865","5,917","31,366","92,913","120,486","188,619","83,778","10,102","1,121",259,84,63,2.1%,0.3%,1800 - 1900,1800 - 1900,71
D1,NB,60,Jul,31,"2,504,622",569,"1,712","1,966","2,730","4,396","8,140","16,955","32,381","63,266","159,969","359,596","575,396","602,918","450,691","170,357","42,641","8,589","1,817",533,60,26.9%,8.9%,1900 - 2000,1900 - 2000,68
D1,SB,60,Jul,31,"2,363,799",655,"3,957","9,245","18,100","32,467","52,638","80,104","110,028","172,066","257,690","309,213","403,740","514,202","312,451","72,348","11,862","2,127",661,245,54,16.9%,3.7%,0500 - 0600,0500 - 0600,66
D1,NB,60,Aug,31,"2,503,521",693,"1,847","1,791","2,391","3,628","5,658","10,693","20,742","51,523","165,408","393,452","602,048","608,336","433,815","153,772","37,836","7,738","1,661",489,60,25.4%,8.0%,1900 - 2000,1900 - 2000,68
D1,SB,60,Aug,30,"2,307,168",667,"3,830","9,127","17,978","31,880","48,734","74,017","103,648","160,040","255,346","328,213","417,980","498,089","281,783","62,538","10,523","1,917",630,228,54,15.5%,3.3%,0500 - 0600,0400 - 0500,65
D1,NB,60,Sep,30,"2,358,937",495,"1,423","1,341","2,010","4,427","8,137","17,271","36,138","75,614","172,568","357,914","547,383","552,369","397,853","141,992","33,568","6,578","1,449",407,59,24.7%,7.8%,1800 - 1900,0400 - 0500,68
D1,SB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D10,EB,50,Jul,30,"1,111,593",436,819,473,515,845,"1,396","2,948","7,549","22,345","59,217","178,851","331,942","333,628","137,187","26,408","5,144","1,295",407,188,59,75.2%,45.4%,1700 - 1800,1700 - 1800,65
D10,WB,50,Jul,30,"1,185,762",884,"4,040","11,259","19,638","23,267","19,063","14,814","20,267","36,489","79,720","189,044","312,624","304,025","122,977","21,424","4,761",985,340,141,55,64.7%,38.3%,1400 - 1500,1200 - 1300,64
D10,EB,50,Aug,31,"1,166,867",335,651,249,395,931,"2,154","3,818","7,956","21,369","59,977","189,229","356,673","353,957","137,628","24,967","4,899","1,166",355,158,59,75.4%,44.8%,1700 - 1800,1700 - 1800,65
D10,WB,50,Aug,31,"1,259,723",934,"4,235","9,924","17,828","23,192","22,096","17,888","27,427","49,542","100,951","224,864","336,403","293,766","108,459","17,316","3,720",806,257,115,54,60.4%,33.7%,1400 - 1500,1400 - 1500,64
D10,EB,50,Sep,30,"1,100,008",325,532,274,388,642,"1,550","4,183","9,600","24,520","67,286","191,657","337,434","317,683","117,670","20,875","4,015",943,284,147,58,72.6%,42.0%,1700 - 1800,1600 - 1700,65
D10,WB,50,Sep,30,"1,159,127",883,"4,023","10,214","22,346","31,550","26,785","20,422","27,145","49,661","95,057","201,736","298,318","259,397","92,697","14,664","3,292",606,236,95,53,57.7%,32.0%,1400 - 1500,1200 - 1300,64
