Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
B02,EB,60,Apr,30,"204,376",0,0,0,0,1,2,7,6,35,167,"1,547","15,039","82,387","82,888","18,663","2,866",558,104,106,65,51.5%,10.9%,1600 - 1700,1700 - 1800,69
B02,WB,60,Apr,30,"202,342",0,0,0,1,1,6,8,19,89,423,"2,102","15,273","85,586","77,876","17,035","3,001",594,185,143,65,48.8%,10.4%,1600 - 1700,1600 - 1700,69
B02,EB,60,May,31,"283,282",0,0,4,0,1,1,2,10,49,217,"2,128","22,327","113,954","113,654","26,171","3,857",624,158,125,65,51.0%,10.9%,1600 - 1700,1600 - 1700,69
B02,WB,60,May,31,"281,089",0,0,3,4,4,10,31,20,98,486,"2,449","20,174","115,062","109,603","27,088","4,759",882,241,175,65,50.8%,11.8%,1200 - 1300,1200 - 1300,70
B02,EB,60,Jun,30,"340,839",0,0,0,1,1,2,4,17,49,252,"2,614","27,233","134,551","136,346","33,589","5,050",792,197,141,65,51.7%,11.7%,1600 - 1700,1700 - 1800,69
B02,WB,60,Jun,30,"339,994",0,0,1,1,2,11,20,41,113,533,"3,181","25,897","135,840","131,650","34,992","6,109","1,133",277,193,65,51.3%,12.6%,1200 - 1300,1200 - 1300,70
B03,NB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03,SB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03,NB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03,SB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
