Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
D10,WB,50,Apr,30,"1,166,088",542,"1,967","5,324","12,727","18,887","16,560","13,724","19,844","38,322","74,017","177,020","314,297","319,436","126,162","21,209","4,661",955,299,135,56,67.5%,40.6%,1500 - 1600,1400 - 1500,65
D10,EB,50,May,31,"1,186,699",336,610,345,619,"1,080","1,791","3,552","8,662","25,155","64,669","193,380","355,885","351,525","143,600","27,663","5,799","1,398",446,184,59,74.7%,44.7%,1600 - 1700,1600 - 1700,65
D10,WB,50,May,31,"1,254,156","1,083","4,939","13,374","25,835","31,699","24,670","17,445","23,488","44,295","87,334","191,286","315,608","313,911","129,346","23,029","5,189","1,098",391,136,54,62.9%,37.7%,1400 - 1500,1300 - 1400,64
D10,EB,50,Jun,30,"1,160,221",318,581,211,444,"1,083","2,030","3,917","9,901","23,872","57,126","180,458","347,220","352,349","144,341","28,202","5,968","1,506",461,233,59,75.9%,45.9%,1600 - 1700,1700 - 1800,65
D10,WB,50,Jun,30,"1,232,212","1,316","6,882","16,452","25,225","25,208","18,336","12,906","19,296","40,319","83,307","190,919","318,002","313,629","129,949","23,493","5,289","1,150",398,136,55,64.3%,38.5%,1200 - 1300,1200 - 1300,65
D12,EB,60,Apr,30,"586,061",91,114,50,43,85,173,215,307,409,"1,048","6,754","47,070","197,060","234,013","77,737","17,149","2,791",702,250,66,56.8%,16.8%,1600 - 1700,1600 - 1700,71
D12,WB,60,Apr,30,"597,444",70,107,36,12,9,19,36,75,195,711,"5,551","49,780","199,302","218,656","93,940","22,952","4,520","1,086",387,66,57.2%,20.6%,1600 - 1700,1600 - 1700,72
D12,EB,60,May,31,"644,319",116,131,49,14,3,4,34,79,148,709,"5,771","46,228","209,066","263,219","92,848","21,288","3,393",978,241,66,59.3%,18.4%,1600 - 1700,1600 - 1700,71
D12,WB,60,May,31,"657,507",99,129,58,28,27,28,55,108,224,708,"5,743","51,232","212,383","241,884","109,706","27,600","5,643","1,346",506,66,58.8%,22.0%,1600 - 1700,1700 - 1800,72
D12,EB,60,Jun,15,"316,292",49,60,21,5,6,4,8,19,67,288,"2,727","22,794","101,819","129,391","45,914","10,674","1,806",487,153,66,59.6%,18.7%,1600 - 1700,1600 - 1700,71
D12,WB,60,Jun,16,"346,443",37,78,36,40,48,57,76,93,138,400,"2,978","27,325","110,770","126,738","58,201","15,272","3,140",727,289,66,59.0%,22.4%,1600 - 1700,1700 - 1800,72
D13,EB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D13,WB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D13,EB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D13,WB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D13,EB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D13,WB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D14,NB,60,Apr,30,"1,016,365",178,290,83,151,169,211,204,209,649,"5,613","42,517","188,585","354,479","299,461","98,181","18,250","5,379","1,254",502,64,41.6%,12.2%,1600 - 1700,0500 - 0600,69
D14,SB,60,Apr,30,"1,005,402",225,378,518,903,948,"1,569","3,083","7,802","19,785","41,266","100,980","236,797","302,892","191,647","75,408","14,965","4,824","1,020",392,61,28.7%,9.6%,1400 - 1500,1800 - 1900,69
D14,NB,60,May,31,"1,091,852",204,371,102,18,25,17,55,140,735,"6,105","45,331","198,802","371,465","339,833","99,554","22,114","4,888","1,479",614,64,42.9%,11.8%,0600 - 0700,0500 - 0600,69
D14,SB,60,May,31,"1,069,234",232,483,385,639,"1,038","1,677","3,595","10,144","27,246","48,710","106,606","245,908","304,283","217,521","76,511","17,360","5,129","1,276",491,61,29.8%,9.4%,1400 - 1500,1800 - 1900,69
D14,NB,60,Jun,30,"1,081,132",225,311,227,611,"1,300","1,449","1,336",811,"1,214","5,874","41,521","186,882","360,533","344,254","102,691","24,977","4,601","1,683",632,64,44.3%,12.4%,0600 - 0700,0500 - 0600,70
D14,SB,60,Jun,30,"1,054,291",217,474,575,"1,060","1,479","2,263","4,866","12,364","30,460","50,931","107,654","239,285","290,831","216,826","70,654","17,797","4,712","1,331",512,61,29.6%,9.0%,1400 - 1500,1800 - 1900,68
D3,EB,60,Apr,29,"1,364,095",18,"2,299","9,919","21,895","31,350","32,278","26,152","21,355","16,457","17,056","56,381","236,872","468,798","325,998","81,251","12,746","2,246",612,412,59,31.0%,7.1%,1800 - 1900,1800 - 1900,68
D3,WB,60,Apr,29,"1,357,715",29,533,"1,355","2,507","3,248","3,187","2,640","2,513","3,103","6,122","27,535","144,901","421,978","467,768","210,307","48,917","8,295","1,846",931,65,54.4%,19.9%,1600 - 1700,1700 - 1800,72
D3,EB,60,May,31,"1,475,862",84,"3,947","13,533","27,893","39,038","38,943","31,860","25,875","19,600","17,252","49,685","227,528","490,357","369,744","99,729","16,299","3,026",849,620,59,33.2%,8.2%,1800 - 1900,1900 - 2000,69
D3,WB,60,May,31,"1,464,101",60,"1,006","1,901","3,134","3,986","4,822","4,492","4,654","5,006","7,300","26,114","140,096","438,771","509,007","241,429","58,654","10,055","2,410","1,204",65,56.2%,21.4%,1700 - 1800,1700 - 1800,72
D3,EB,60,Jun,30,"1,450,806",29,"2,369","9,921","22,080","33,891","35,851","28,967","23,374","18,720","16,381","44,338","205,037","479,308","390,545","114,705","19,924","3,669","1,008",689,60,36.6%,9.6%,1800 - 1900,1900 - 2000,69
D3,WB,60,Jun,30,"1,427,920",113,"1,568","2,225","2,603","3,271","3,305","2,615","2,761","3,003","4,999","22,483","132,717","429,976","504,502","240,327","57,722","10,060","2,346","1,324",66,57.2%,21.8%,1700 - 1800,1700 - 1800,72
P01,EB,60,Apr,30,"355,547",76,137,87,36,13,6,33,122,827,"4,962","24,239","89,792","169,875","59,190","5,285",689,138,25,15,61,18.4%,1.7%,1600 - 1700,1600 - 1700,66
P01,WB,60,Apr,30,"348,383",62,109,46,14,9,19,100,448,"1,781","3,420","12,824","74,380","181,512","67,582","5,350",564,121,31,11,62,21.1%,1.7%,1500 - 1600,1500 - 1600,67
P01,EB,60,May,31,"397,878",91,188,103,44,11,16,48,207,"1,095","6,455","30,413","102,252","184,476","65,090","6,392",805,157,23,12,61,18.2%,1.9%,1600 - 1700,1800 - 1900,66
P01,WB,60,May,31,"389,023",80,124,65,21,12,20,105,497,"1,840","3,719","14,539","81,134","198,208","80,383","7,254",813,154,39,16,62,22.8%,2.1%,1500 - 1600,1500 - 1600,67
P01,EB,60,Jun,30,"408,397",105,158,92,55,22,12,44,157,"1,067","6,398","30,501","100,842","186,830","72,095","8,569","1,150",231,48,21,61,20.1%,2.5%,1700 - 1800,1600 - 1700,66
P01,WB,60,Jun,30,"402,878",86,140,68,23,12,16,96,527,"2,018","4,345","17,790","90,893","199,564","78,923","7,284",873,168,39,13,62,21.7%,2.1%,1700 - 1800,1500 - 1600,67
P02,EB,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,WB,65,Apr,21,"7,359",0,1,6,7,20,13,51,127,120,40,155,530,"1,510","3,231","1,212",223,84,18,11,65,21.0%,4.6%,1400 - 1500,1600 - 1700,72
P02,EB,65,May,28,"12,096",0,1,3,18,36,54,167,128,39,37,106,380,"1,728","3,004","3,335","1,412",952,470,226,70,52.9%,25.3%,1400 - 1500,1600 - 1700,79
P02,WB,65,May,31,"13,612",0,0,2,2,13,36,94,214,210,111,171,715,"3,078","5,453","2,728",557,167,46,15,66,25.8%,5.8%,1600 - 1700,1600 - 1700,73
P02,EB,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,WB,65,Jun,29,"14,105",1,3,6,4,13,50,94,207,184,105,245,835,"3,346","5,522","2,734",510,173,49,24,66,24.7%,5.4%,1200 - 1300,1200 - 1300,72
P03,NB,55,Apr,29,"207,868",0,0,2,3,7,28,65,174,702,"3,502","19,882","81,999","73,897","22,169","4,307",823,168,48,92,60,48.8%,13.3%,1600 - 1700,1600 - 1700,65
P03,SB,55,Apr,29,"205,086",0,0,2,7,9,26,91,191,878,"4,069","19,854","76,579","73,341","24,320","4,642",821,166,37,53,60,50.4%,14.6%,1500 - 1600,1500 - 1600,65
P03,NB,55,May,31,"231,261",0,3,2,6,7,25,75,189,724,"3,366","18,249","83,249","86,975","30,078","6,599","1,225",299,85,105,61,54.2%,16.6%,1600 - 1700,1600 - 1700,66
P03,SB,55,May,31,"229,147",0,1,4,5,12,32,131,182,886,"3,807","17,449","79,603","86,731","32,172","6,564","1,186",234,69,79,61,55.4%,17.6%,1500 - 1600,1700 - 1800,66
P03,NB,55,Jun,29,"224,249",0,0,2,5,4,28,85,248,697,"3,085","16,396","76,910","84,636","32,656","7,541","1,476",307,80,93,61,56.5%,18.8%,1600 - 1700,1600 - 1700,66
P03,SB,55,Jun,29,"221,885",0,0,1,12,11,27,155,256,882,"3,502","15,733","73,415","84,244","34,375","7,445","1,365",322,68,72,61,57.6%,19.7%,1400 - 1500,1700 - 1800,66
P04,NB,70,Apr,30,"817,443",0,4,82,218,157,151,162,294,659,"1,835","11,539","56,331","185,713","252,970","240,069","61,031","5,255",806,167,68,8.2%,0.8%,1800 - 1900,0600 - 0700,74
