Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
B02,EB,60,Oct,26,"292,477",0,0,0,0,0,0,0,8,45,263,"2,567","27,176","124,194","113,896","21,520","2,310",344,70,84,65,47.3%,8.3%,1600 - 1700,1600 - 1700,69
B02,WB,60,Oct,26,"288,653",0,0,1,0,2,11,6,16,104,473,"2,777","24,226","126,973","109,764","20,082","2,950",655,226,387,65,46.4%,8.4%,1600 - 1700,1500 - 1600,69
B02,EB,60,Nov,28,"300,031",0,0,0,0,1,2,5,6,44,345,"3,003","29,250","130,242","114,536","20,080","2,103",273,73,68,65,45.7%,7.5%,1500 - 1600,1500 - 1600,69
B02,WB,60,Nov,28,"301,552",0,0,1,13,7,8,16,27,88,428,"2,724","24,484","134,793","115,256","20,408","2,747",374,104,74,65,46.1%,7.9%,1500 - 1600,1500 - 1600,69
B02,EB,60,Dec,30,"303,913",0,0,0,2,0,5,14,18,74,426,"3,632","31,865","133,219","113,456","18,899","1,974",227,41,61,64,44.3%,7.0%,1200 - 1300,1300 - 1400,69
B02,WB,60,Dec,30,"299,724",0,0,0,2,0,5,10,19,83,557,"3,496","27,409","134,575","111,780","18,932","2,378",344,65,69,65,44.6%,7.3%,1500 - 1600,1400 - 1500,69
B03,NB,70,Oct,31,"311,464",0,1,0,8,50,75,14,41,96,370,"1,687","9,822","53,562","62,905","104,599","68,633","8,117","1,108",376,71,25.1%,3.1%,1600 - 1700,1600 - 1700,77
B03,SB,70,Oct,31,"316,245",0,0,0,18,45,72,17,57,165,794,"2,008","11,139","48,781","51,778","110,112","76,910","11,932","1,872",545,71,28.9%,4.5%,1600 - 1700,1600 - 1700,78
B03,NB,70,Nov,29,"252,634",0,0,1,8,26,24,9,22,41,135,930,"6,899","41,890","50,211","87,878","57,080","6,408",827,245,71,25.6%,3.0%,1500 - 1600,1500 - 1600,77
B03,SB,70,Nov,29,"259,532",0,0,1,8,39,59,12,24,149,562,"1,029","4,511","32,985","38,658","90,046","76,068","12,653","2,126",602,72,35.2%,5.9%,1600 - 1700,1600 - 1700,78
B03,NB,70,Dec,31,"239,744",0,0,1,1,8,11,6,24,52,208,"1,057","6,698","39,850","48,371","83,739","53,068","5,682",758,210,71,24.9%,2.8%,1500 - 1600,1500 - 1600,77
B03,SB,70,Dec,31,"243,477",0,0,0,2,9,17,7,18,139,521,"1,064","4,514","32,253","38,627","86,389","67,330","10,467","1,672",448,72,32.8%,5.2%,1500 - 1600,1200 - 1300,78
B04,EB,70,Oct,31,"502,325",64,90,40,54,20,52,129,159,406,"1,017","4,468","24,856","102,714","122,753","142,212","83,877","16,324","2,555",535,69,20.6%,3.9%,1600 - 1700,1600 - 1700,77
B04,WB,70,Oct,31,"505,830",132,393,221,279,727,"1,365","1,419","1,176","1,804","6,759","32,006","91,639","110,574","171,088","76,312","8,596",994,246,100,64,2.0%,0.3%,1500 - 1600,1500 - 1600,71
B04,EB,70,Nov,29,"431,177",54,92,92,58,51,137,169,387,699,"1,090","3,399","18,708","82,719","97,323","126,458","81,009","15,968","2,329",435,70,23.1%,4.3%,1500 - 1600,1400 - 1500,77
B04,WB,70,Nov,29,"434,135",82,123,23,10,38,87,287,682,"1,507","5,163","24,738","74,209","90,596","153,734","73,106","8,538",947,201,64,65,2.2%,0.3%,1400 - 1500,1500 - 1600,71
B04,EB,70,Dec,31,"405,106",49,54,14,23,207,504,"1,187","1,857","3,103","5,158","10,466","26,205","79,592","90,157","107,380","64,781","12,230","1,812",327,68,19.5%,3.5%,1300 - 1400,1400 - 1500,76
B04,WB,70,Dec,30,"397,848",82,82,24,18,110,385,904,"2,082","4,775","11,010","32,820","73,156","88,297","124,957","52,561","5,785",625,117,58,63,1.7%,0.2%,1400 - 1500,1200 - 1300,70
D1,NB,60,Oct,31,"2,381,501",490,"1,438","1,818","3,468","6,181","11,114","25,190","52,292","97,547","190,642","359,456","538,209","530,087","382,383","138,521","33,908","6,759","1,540",458,58,23.7%,7.6%,1700 - 1800,0400 - 0500,68
D1,SB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,NB,60,Nov,29,"2,186,162",434,"1,265","1,257","1,948","3,642","7,897","20,041","44,710","88,327","176,258","324,663","483,012","488,619","366,090","136,336","33,175","6,583","1,464",441,59,24.9%,8.1%,1400 - 1500,0400 - 0500,68
D1,SB,60,Nov,28,"2,008,255","1,140","5,192","9,524","16,165","32,885","59,541","84,681","105,217","149,768","210,028","262,202","359,864","417,139","232,573","51,543","8,540","1,622",472,159,53,14.7%,3.1%,2200 - 2300,2200 - 2300,65
D1,NB,60,Dec,31,"2,319,139",515,"1,457","1,635","2,261","3,996","8,622","23,101","52,286","101,139","197,672","349,523","501,455","508,821","381,069","142,849","34,207","6,676","1,426",429,58,24.4%,8.0%,1200 - 1300,0400 - 0500,68
D1,SB,60,Dec,31,"2,212,848",904,"4,867","10,547","21,001","44,775","78,314","103,512","123,313","167,468","210,116","279,119","403,335","457,342","246,053","51,875","8,138","1,535",468,166,53,13.9%,2.8%,2200 - 2300,2200 - 2300,65
D10,EB,50,Oct,31,"1,164,412",902,"1,266",468,376,852,"2,448","5,589","12,856","31,671","83,294","214,486","351,796","318,819","114,492","19,729","3,861","1,053",303,151,58,69.6%,39.4%,1600 - 1700,1600 - 1700,64
D10,WB,50,Oct,29,"1,136,842","2,318","22,161","54,235","58,847","45,037","28,313","19,589","26,549","50,926","93,509","186,529","257,595","207,829","69,512","10,734","2,379",522,178,80,49,48.3%,25.6%,1400 - 1500,1400 - 1500,63
