Site Code,Direction,Posted Speed,Month,Days of Data,Observed Vehicles, 0 to 5 MPH Vehicle Count,5 to 10 MPH Vehicle Count,10 to 15 MPH Vehicle Count,15 to 20 MPH Vehicle Count,20 to 25 MPH Vehicle Count,25 to 30 MPH Vehicle Count,30 to 35 MPH Vehicle Count,35 to 40 MPH Vehicle Count,40 to 45 MPH Vehicle Count,45 to 50 MPH Vehicle Count,50 to 55 MPH Vehicle Count,55 to 60 MPH Vehicle Count,60 to 65 MPH Vehicle Count,65 to 70 MPH Vehicle Count,70 to 75 MPH Vehicle Count,75 to 80 MPH Vehicle Count,80 to 85 MPH Vehicle Count,85 to 90 MPH Vehicle Count,90 to 95 MPH Vehicle Count,Average Speed,Percent >= 5 MPH Over Limit,Percent >= 10 MPH Over Limit,>=5 MPH Over Limit Peak Hour,>=10 MPH Over Limit Peak Hour,85th Percentile Speed
B02,EB,60,Oct,31,"345,836",0,0,1,0,2,3,3,16,54,338,"3,130","30,577","137,319","136,514","32,666","4,309",701,117,86,65,50.4%,11.0%,1600 - 1700,1600 - 1700,69
B02,WB,60,Oct,31,"343,314",0,0,0,1,2,3,11,25,100,563,"3,382","26,961","136,800","133,715","34,863","5,665",916,179,128,65,51.1%,12.2%,1600 - 1700,1500 - 1600,70
B02,EB,60,Nov,30,"286,221",0,0,0,1,2,6,4,14,69,366,"3,312","29,356","118,821","108,216","22,816","2,713",392,69,64,65,46.9%,9.1%,1200 - 1300,1200 - 1300,69
B02,WB,60,Nov,30,"280,482",0,0,1,2,2,10,12,33,108,626,"3,253","23,669","116,936","107,091","24,358","3,616",565,124,76,65,48.4%,10.2%,1500 - 1600,1300 - 1400,69
B02,EB,60,Dec,30,"281,162",0,0,0,1,1,4,7,17,86,414,"3,332","28,772","117,991","106,583","21,080","2,394",348,79,53,65,46.4%,8.5%,1200 - 1300,1200 - 1300,69
B02,WB,60,Dec,30,"284,285",0,1,0,1,5,11,33,47,100,559,"3,221","23,797","120,528","109,058","22,927","3,348",485,97,67,65,47.8%,9.5%,1500 - 1600,1500 - 1600,69
B03,NB,70,Oct,31,"301,486",0,2,23,45,133,118,39,96,267,668,"2,623","11,255","51,094","62,182","96,481","65,300","9,236","1,409",515,70,25.4%,3.7%,1600 - 1700,1600 - 1700,77
B03,SB,70,Oct,31,"303,503",0,0,3,17,67,94,50,70,258,998,"1,903","8,575","45,125","48,406","96,865","81,410","16,025","2,786",851,72,33.3%,6.5%,1600 - 1700,1600 - 1700,78
B03,NB,70,Nov,30,"236,173",0,0,0,10,27,25,12,24,73,255,"1,090","6,359","41,166","49,503","76,493","52,288","7,379","1,121",348,71,25.9%,3.7%,1500 - 1600,1500 - 1600,77
B03,SB,70,Nov,30,"241,730",0,1,0,7,28,42,22,28,165,739,"1,368","4,593","33,500","42,989","79,584","63,565","12,223","2,166",710,72,32.5%,6.2%,1500 - 1600,1500 - 1600,78
B03,NB,70,Dec,30,"221,524",0,0,1,2,15,25,31,96,226,566,"1,646","7,360","39,926","48,371","71,030","45,307","5,883",787,252,70,23.6%,3.1%,1300 - 1400,1300 - 1400,77
B03,SB,70,Dec,27,"198,274",24,2,0,2,20,43,39,90,329,873,"1,564","4,774","28,403","36,578","62,138","51,210","9,887","1,741",557,71,32.0%,6.1%,1400 - 1500,1400 - 1500,78
B04,EB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04,WB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04,EB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04,WB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04,EB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04,WB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,NB,60,Oct,26,"1,711,408",348,825,451,321,477,932,"2,844","8,869","27,407","71,698","169,762","351,910","460,533","383,314","168,405","49,406","10,787","2,418",701,62,35.9%,13.5%,1600 - 1700,1700 - 1800,70
D1,SB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,NB,60,Nov,29,"1,737,180",440,889,613,349,250,392,"1,410","6,806","24,975","75,065","193,899","368,253","448,578","374,503","171,781","53,089","12,310","2,743",835,62,35.4%,13.9%,1400 - 1500,1500 - 1600,70
D1,SB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
